Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
228-96-1411,Giza,Naypyitaw,,Female,Food and beverages,98.7,8,39.48,829.08,03/04/2019,8:39:00 PM,Cash,789.6,4.761904762,39.48,7.6
617-15-4209,Giza,,Member,Female,Health and beauty,15.37,2,,32.277,3/16/2019,7:47:00 PM,,30.74,,1.537,7.2
132-32-9879,,,Member,Female,Electronic accessories,93.96,4,18.792,394.632,03/09/2019,6:00:00 PM,,375.84,4.761904762,18.792,9.5
370-41-7321,Cairo,,Member,Female,Health and beauty,56.69,,25.5105,535.7205,2/27/2019,5:24:00 PM,Credit card,510.21,4.761904762,25.5105,8.4
727-46-3608,,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,02/06/2019,3:47:00 PM,Ewallet,180.09,4.761904762,9.0045,4.1
669-54-1719,Cairo,Mandalay,Member,Female,Electronic accessories,,6,5.679,119.259,02/10/2019,12:45:00 PM,Credit card,,4.761904762,5.679,8.1
574-22-5561,,Naypyitaw,,Female,Fashion accessories,82.63,,41.315,867.615,3/19/2019,5:08:00 PM,,,4.761904762,41.315,7.9
326-78-5178,Giza,Naypyitaw,,,,91.4,7,31.99,671.79,02/03/2019,10:19:00 AM,Cash,639.8,4.761904762,31.99,9.5
162-48-8011,Alex,Yangon,Member,Female,,44.59,,11.1475,234.0975,02/10/2019,3:10:00 PM,,222.95,,11.1475,8.5
616-24-2851,Cairo,Mandalay,Member,,Fashion accessories,17.87,,,75.054,3/22/2019,2:42:00 PM,Ewallet,71.48,4.761904762,3.574,6.5
778-71-5554,Giza,,Member,Female,Fashion accessories,15.43,,,16.2015,1/25/2019,3:46:00 PM,,15.43,4.761904762,,6.1
242-55-6721,Cairo,Mandalay,Member,Female,,,2,,33.936,3/14/2019,11:49:00 AM,Ewallet,32.32,4.761904762,,6.5
399-46-5918,Giza,Naypyitaw,,Female,Electronic accessories,85.98,8,34.392,722.232,2/28/2019,7:01:00 PM,Cash,687.84,,34.392,8.2
106-35-6779,,,Member,Female,,,2,4.434,93.114,3/27/2019,11:26:00 AM,Cash,88.68,4.761904762,4.434,5.8
635-40-6220,,Yangon,,Female,Health and beauty,89.6,8,35.84,752.64,02/07/2019,11:28:00 AM,,,4.761904762,,6.6
817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,3/14/2019,3:55:00 PM,Cash,723.5,4.761904762,36.175,5.4
120-06-4233,,Naypyitaw,,Female,Electronic accessories,30.61,,9.183,192.843,3/14/2019,8:36:00 PM,Cash,183.66,4.761904762,9.183,9.3
285-68-5083,Giza,,Member,Female,,,3,,77.931,2/15/2019,5:47:00 PM,Credit card,74.22,,3.711,10
803-83-5989,Giza,,Member,Female,,55.73,6,16.719,351.099,2/24/2019,10:55:00 AM,Ewallet,,4.761904762,16.719,7
347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,3/14/2019,1:40:00 PM,,495.63,,24.7815,10
199-75-8169,,,Member,Female,Sports and travel,15.81,,7.905,166.005,3/14/2019,12:27:00 PM,Credit card,,,7.905,8.6
853-23-2453,Cairo,Mandalay,Member,Female,Health and beauty,75.74,,,318.108,2/14/2019,2:35:00 PM,,302.96,4.761904762,15.148,7.6
877-22-3308,,,Member,,Health and beauty,15.87,,7.935,166.635,3/13/2019,4:40:00 PM,Cash,,4.761904762,7.935,5.8
838-78-4295,,Naypyitaw,Member,Female,,33.47,,3.347,70.287,3/14/2019,3:43:00 PM,Ewallet,66.94,4.761904762,3.347,6.7
109-28-2512,Cairo,,Member,Female,Fashion accessories,97.61,6,29.283,614.943,3/14/2019,3:01:00 PM,Ewallet,585.66,4.761904762,29.283,9.9
232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,10,39.385,827.085,3/14/2019,10:04:00 AM,Cash,787.7,4.761904762,,6.4
382-03-4532,,Yangon,Member,,Health and beauty,18.33,1,0.9165,19.2465,3/14/2019,6:50:00 PM,Cash,,4.761904762,,4.3
393-65-2792,,,,Female,Food and beverages,89.48,10,44.74,939.54,01/06/2019,12:46:00 PM,Credit card,894.8,4.761904762,44.74,9.6
796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,,31.06,652.26,3/14/2019,4:19:00 PM,Cash,621.2,4.761904762,31.06,5.9
510-95-6347,Cairo,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,03/05/2019,6:17:00 PM,,145.56,4.761904762,,4
841-35-6630,,,Member,Female,Electronic accessories,75.91,6,22.773,478.233,3/14/2019,6:21:00 PM,Cash,455.46,,22.773,8.7
287-21-9091,Alex,,Member,Female,Home and lifestyle,74.67,9,33.6015,705.6315,1/22/2019,10:55:00 AM,Ewallet,,4.761904762,33.6015,9.4
732-94-0499,,Naypyitaw,Member,Female,Electronic accessories,41.65,10,20.825,437.325,3/14/2019,5:04:00 PM,Credit card,416.5,4.761904762,20.825,5.4
263-10-3913,,Naypyitaw,Member,Female,Fashion accessories,49.04,,22.068,463.428,01/09/2019,2:20:00 PM,Credit card,441.36,4.761904762,22.068,8.6
381-20-0914,Alex,Yangon,,Female,,20.01,9,,189.0945,3/14/2019,3:48:00 PM,Credit card,180.09,4.761904762,9.0045,5.7
829-49-1914,,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,03/05/2019,4:24:00 PM,,,,39.155,6.6
756-01-7507,,Naypyitaw,,,,20.38,5,,106.995,1/22/2019,6:56:00 PM,,,,5.095,6
870-72-4431,Giza,,Member,Female,,99.19,6,,624.897,3/14/2019,2:42:00 PM,Credit card,595.14,4.761904762,29.757,5.5
847-38-7188,Cairo,Mandalay,Member,Female,Food and beverages,96.68,3,14.502,304.542,1/26/2019,7:56:00 PM,Ewallet,290.04,4.761904762,,6.4
480-63-2856,,Naypyitaw,Member,Female,Food and beverages,19.25,,7.7,161.7,1/23/2019,6:37:00 PM,Ewallet,,,7.7,6.6
787-56-0757,Giza,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2/23/2019,6:45:00 PM,Credit card,,4.761904762,16.072,8.3
360-39-5055,Giza,Naypyitaw,,Female,Sports and travel,48.91,5,12.2275,256.7775,03/09/2019,10:17:00 AM,,244.55,4.761904762,12.2275,6.6
730-50-9884,Giza,Naypyitaw,,Female,Sports and travel,83.06,7,,610.491,03/05/2019,2:31:00 PM,Ewallet,581.42,4.761904762,29.071,4
362-58-8315,Giza,Naypyitaw,Member,Female,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,10:23:00 AM,Cash,382.6,4.761904762,19.13,9.9
633-44-8566,Alex,Yangon,Member,Female,Food and beverages,49.38,7,,362.943,3/27/2019,8:35:00 PM,Credit card,345.66,4.761904762,,7.3
504-35-8843,Alex,Yangon,Member,Female,Sports and travel,42.47,,2.1235,44.5935,01/02/2019,4:57:00 PM,Cash,42.47,4.761904762,,5.7
318-68-5053,Cairo,Mandalay,,Female,Health and beauty,76.99,6,23.097,485.037,2/27/2019,5:55:00 PM,Cash,461.94,4.761904762,23.097,6.1
565-80-5980,,,Member,Female,Home and lifestyle,47.38,,9.476,198.996,1/23/2019,10:25:00 AM,Cash,189.52,4.761904762,,7.1
225-32-0908,Giza,Naypyitaw,Member,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019,7:54:00 PM,Ewallet,448.6,4.761904762,,8.2
873-51-0671,,,Member,Female,Sports and travel,21.98,7,7.693,161.553,01/10/2019,4:42:00 PM,Ewallet,153.86,4.761904762,,5.1
152-08-9985,,,,Female,Health and beauty,64.36,9,28.962,608.202,03/12/2019,12:09:00 PM,,,4.761904762,28.962,8.6
512-91-0811,Giza,Naypyitaw,,Female,Health and beauty,89.75,1,,94.2375,3/14/2019,8:05:00 PM,Credit card,89.75,,4.4875,6.6
594-34-4444,Alex,,Member,Female,Electronic accessories,,,,102.018,03/08/2019,8:38:00 PM,Ewallet,97.16,4.761904762,,7.2
766-85-7061,Cairo,Mandalay,,Female,,87.87,10,43.935,922.635,3/14/2019,10:25:00 AM,Ewallet,,4.761904762,43.935,5.1
871-39-9221,Giza,,,Female,Electronic accessories,12.45,6,3.735,78.435,3/14/2019,1:11:00 PM,,74.7,,3.735,4.1
865-92-6136,Alex,Yangon,Member,Female,Food and beverages,52.75,3,7.9125,166.1625,3/23/2019,10:16:00 AM,,158.25,4.761904762,7.9125,9.3
733-01-9107,,,,Female,Home and lifestyle,82.7,,24.81,521.01,3/14/2019,6:14:00 PM,,,4.761904762,,7.4
163-56-7055,,Naypyitaw,Member,Female,Fashion accessories,48.71,1,2.4355,51.1455,3/14/2019,7:20:00 PM,Cash,48.71,4.761904762,2.4355,4.1
189-98-2939,Giza,Naypyitaw,Member,Female,,78.55,,35.3475,742.2975,3/14/2019,1:22:00 PM,,706.95,4.761904762,35.3475,7.2
551-21-3069,,,Member,Female,Electronic accessories,23.07,9,10.3815,218.0115,02/01/2019,11:27:00 AM,,,,10.3815,4.9
212-62-1842,Alex,Yangon,Member,Female,Food and beverages,58.26,,17.478,367.038,3/28/2019,4:44:00 PM,Cash,,4.761904762,17.478,9.9
716-39-1409,Cairo,Mandalay,Member,Female,Health and beauty,30.35,7,10.6225,223.0725,3/19/2019,6:19:00 PM,Cash,212.45,4.761904762,10.6225,8
704-48-3927,Alex,Yangon,,,Electronic accessories,88.67,10,44.335,931.035,01/12/2019,2:50:00 PM,,886.7,4.761904762,44.335,7.3
628-34-3388,Giza,,Member,Female,Fashion accessories,27.38,6,,172.494,3/14/2019,8:54:00 PM,Credit card,164.28,4.761904762,8.214,7.9
630-74-5166,Alex,Yangon,Member,Female,Sports and travel,62.13,6,,391.419,3/22/2019,8:19:00 PM,,372.78,,18.639,7.4
588-01-7461,Giza,Naypyitaw,Member,Female,Food and beverages,33.98,,15.291,321.111,3/24/2019,10:43:00 AM,,305.82,,15.291,4.2
861-77-0145,,Naypyitaw,,Female,Electronic accessories,81.97,10,,860.685,03/03/2019,2:30:00 PM,Cash,,4.761904762,40.985,9.2
479-26-8945,,Mandalay,Member,Female,Sports and travel,16.49,,1.649,34.629,02/05/2019,11:32:00 AM,,32.98,4.761904762,1.649,4.6
210-67-5886,,Naypyitaw,,Female,Health and beauty,98.21,3,14.7315,309.3615,3/14/2019,10:41:00 AM,,294.63,4.761904762,14.7315,7.8
227-78-1148,Cairo,Mandalay,Member,Female,Fashion accessories,72.84,,,535.374,2/15/2019,12:44:00 PM,,,,25.494,8.4
645-44-1170,Alex,Yangon,Member,Female,,58.07,9,26.1315,548.7615,1/19/2019,8:07:00 PM,Ewallet,,4.761904762,26.1315,4.3
237-01-6122,Giza,,Member,Female,Home and lifestyle,80.79,,36.3555,763.4655,02/01/2019,8:31:00 PM,Credit card,727.11,4.761904762,36.3555,9.5
225-98-1496,,Naypyitaw,Member,Female,Fashion accessories,27.02,3,,85.113,03/02/2019,1:01:00 PM,,81.06,4.761904762,4.053,7.1
291-32-1427,Cairo,Mandalay,Member,Female,,21.94,5,5.485,115.185,3/14/2019,12:29:00 PM,,109.7,4.761904762,5.485,5.3
659-65-8956,Cairo,Mandalay,Member,Female,Fashion accessories,51.36,1,,53.928,1/16/2019,3:26:00 PM,,,4.761904762,,5.2
642-32-2990,Alex,Yangon,Member,,Food and beverages,,10,,115.08,02/02/2019,8:48:00 PM,,109.6,4.761904762,5.48,6
378-24-2715,Cairo,Mandalay,Member,Female,Home and lifestyle,,2,5.344,112.224,3/14/2019,8:38:00 PM,,106.88,4.761904762,5.344,4.1
638-60-7125,,,,Female,Electronic accessories,99.56,8,39.824,836.304,2/14/2019,5:03:00 PM,Credit card,796.48,,39.824,5.2
659-36-1684,,Naypyitaw,Member,Female,Sports and travel,57.12,,,419.832,01/12/2019,12:02:00 PM,Credit card,,,19.992,6.5
219-22-9386,Cairo,,Member,Female,,99.96,9,44.982,944.622,3/14/2019,5:26:00 PM,Credit card,,,44.982,4.2
336-78-2147,Giza,Naypyitaw,Member,Female,Home and lifestyle,,8,,536.844,3/14/2019,7:52:00 PM,Credit card,,4.761904762,25.564,4.6
268-27-6179,,,Member,Female,Fashion accessories,56.47,,22.588,474.348,03/09/2019,2:57:00 PM,Ewallet,451.76,4.761904762,22.588,7.3
668-90-8900,,Yangon,Member,Female,Home and lifestyle,93.69,7,32.7915,688.6215,03/10/2019,6:44:00 PM,Credit card,,4.761904762,32.7915,4.5
870-54-3162,Alex,,Member,Female,Sports and travel,32.25,5,8.0625,169.3125,1/27/2019,1:26:00 PM,Cash,,,,9
189-08-9157,Giza,Naypyitaw,Member,Female,Fashion accessories,31.73,9,,299.8485,01/08/2019,4:17:00 PM,Credit card,285.57,4.761904762,14.2785,5.9
663-86-9076,,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,01/08/2019,3:57:00 PM,,,4.761904762,,8.5
549-84-7482,Cairo,Mandalay,,Female,Sports and travel,90.28,9,40.626,853.146,02/08/2019,11:15:00 AM,Ewallet,812.52,,40.626,7.2
191-10-6171,Cairo,,Normal,Female,,,7,13.867,291.207,3/14/2019,1:18:00 PM,Cash,277.34,4.761904762,13.867,7.5
802-70-5316,Alex,,Member,Female,Sports and travel,92.13,6,,580.419,03/06/2019,8:34:00 PM,,552.78,4.761904762,27.639,8.3
695-51-0018,Cairo,Mandalay,,Female,,,,6.968,146.328,02/10/2019,6:36:00 PM,Cash,,4.761904762,6.968,7.4
590-83-4591,Cairo,Mandalay,,Female,,87.45,6,,550.935,2/17/2019,2:40:00 PM,,524.7,4.761904762,26.235,8.8
483-71-1164,,Naypyitaw,Normal,Female,Health and beauty,81.3,6,,512.19,3/14/2019,4:43:00 PM,Ewallet,487.8,4.761904762,24.39,5.3
597-78-7908,,Naypyitaw,Normal,Female,Fashion accessories,90.22,,,284.193,2/18/2019,7:39:00 PM,Cash,,4.761904762,13.533,6.2
700-81-1757,Alex,,,Female,Electronic accessories,26.31,,6.5775,138.1275,1/18/2019,8:59:00 PM,Credit card,,4.761904762,,8.8
354-39-5160,,Yangon,,Female,Home and lifestyle,,,,216.846,2/18/2019,3:39:00 PM,Cash,,4.761904762,,9.8
241-72-9525,,Mandalay,Normal,Female,Sports and travel,,10,25.955,545.055,2/16/2019,12:21:00 PM,Cash,,,25.955,8.2
575-30-8091,Alex,Yangon,Normal,Female,Sports and travel,,8,29,609,3/16/2019,7:25:00 PM,,,,29,9.2
731-81-9469,Giza,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,1/23/2019,1:00:00 PM,Credit card,898,4.761904762,44.9,5.4
280-17-4359,Giza,,Member,,,,,,950.25,3/14/2019,1:48:00 PM,Cash,905,,45.25,8.1
338-65-2210,Giza,Naypyitaw,Member,,Health and beauty,68.6,10,34.3,720.3,3/14/2019,7:57:00 PM,Cash,686,4.761904762,,9.1
488-25-4221,Giza,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2/22/2019,10:36:00 AM,Credit card,30.41,4.761904762,1.5205,8.4
239-10-7476,Alex,Yangon,Normal,Female,Home and lifestyle,,6,,491.085,1/21/2019,4:37:00 PM,Ewallet,,,,8
458-41-1477,Giza,Naypyitaw,,Female,Health and beauty,46.26,6,13.878,291.438,03/08/2019,5:11:00 PM,Credit card,,4.761904762,13.878,9.5
685-64-1609,Alex,Yangon,Member,Female,Fashion accessories,30.14,10,,316.47,3/14/2019,12:28:00 PM,Ewallet,301.4,,15.07,9.2
568-90-5112,Giza,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,3/19/2019,12:46:00 PM,Credit card,,,13.228,5.6
262-47-2794,Cairo,Mandalay,Member,,Home and lifestyle,,8,28.744,603.624,03/06/2019,3:07:00 PM,Credit card,574.88,4.761904762,28.744,6.2
238-49-0436,,Yangon,,Male,Health and beauty,,8,12.984,272.664,3/27/2019,1:48:00 PM,,259.68,4.761904762,,4.9
608-96-3517,Cairo,Mandalay,,Female,Fashion accessories,91.54,4,18.308,384.468,3/14/2019,7:20:00 PM,Credit card,,4.761904762,18.308,4.8
584-86-7256,Giza,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,254.016,03/11/2019,4:07:00 PM,,241.92,4.761904762,12.096,7.3
746-94-0204,Alex,Yangon,Normal,Male,,83.24,,37.458,786.618,1/29/2019,11:56:00 AM,Credit card,,,37.458,7.4
214-17-6927,Giza,Naypyitaw,Normal,Female,Food and beverages,16.48,6,,103.824,02/07/2019,6:23:00 PM,Ewallet,,4.761904762,,9.9
400-89-4171,Giza,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,1/28/2019,1:05:00 PM,Cash,647.76,4.761904762,32.388,9.3
782-95-9291,Alex,Yangon,Member,Male,Food and beverages,92.29,5,,484.5225,2/20/2019,3:55:00 PM,,461.45,4.761904762,,9
279-74-2924,Cairo,,Member,Male,,72.17,1,3.6085,75.7785,3/14/2019,7:40:00 PM,Cash,72.17,4.761904762,3.6085,6.1
307-85-2293,Cairo,Mandalay,Normal,Male,,50.28,,12.57,263.97,03/07/2019,1:58:00 PM,Ewallet,251.4,,12.57,9.7
743-04-1105,Cairo,Mandalay,,Male,Health and beauty,97.22,,43.749,918.729,3/14/2019,2:43:00 PM,,874.98,4.761904762,43.749,6
423-57-2993,Cairo,Mandalay,Normal,Male,,,,28.017,588.357,3/14/2019,7:18:00 PM,Ewallet,560.34,4.761904762,,10
894-41-5205,Giza,Naypyitaw,,Female,,43.18,8,17.272,362.712,1/19/2019,7:39:00 PM,,,,17.272,8.3
275-28-0149,Alex,,Normal,Male,Sports and travel,63.69,,3.1845,66.8745,2/25/2019,4:21:00 PM,Cash,63.69,4.761904762,3.1845,6
101-17-6199,,,Normal,,Food and beverages,,,,336.5565,3/13/2019,7:44:00 PM,Credit card,,4.761904762,16.0265,7
423-80-0988,,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,1/30/2019,7:42:00 PM,Ewallet,152.8,4.761904762,7.64,6.5
548-46-9322,Cairo,,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2/20/2019,3:24:00 PM,Credit card,399,4.761904762,19.95,5.9
505-02-0892,,,,Male,Health and beauty,42.57,8,17.028,357.588,2/25/2019,2:12:00 PM,Ewallet,340.56,4.761904762,17.028,5.6
234-65-2137,,Naypyitaw,,Male,Home and lifestyle,95.58,10,47.79,1003.59,1/16/2019,1:32:00 PM,,,4.761904762,,4.8
687-47-8271,Alex,,Normal,Male,,98.98,10,49.49,1039.29,02/08/2019,4:20:00 PM,,,4.761904762,49.49,8.7
796-32-9050,Alex,Yangon,Normal,Male,,51.28,6,15.384,323.064,3/14/2019,4:31:00 PM,Cash,,,15.384,6.5
105-31-1824,Alex,,Member,Male,,69.52,7,,510.972,02/01/2019,3:10:00 PM,Credit card,486.64,4.761904762,,8.5
249-42-3782,Alex,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,3/14/2019,11:36:00 AM,Ewallet,,4.761904762,,5.5
316-55-4634,Cairo,Mandalay,Member,,,80.05,,20.0125,420.2625,3/14/2019,12:45:00 PM,Credit card,400.25,4.761904762,20.0125,9.4
733-33-4967,,Naypyitaw,Normal,Male,Electronic accessories,20.85,,8.34,175.14,3/14/2019,7:17:00 PM,Cash,,4.761904762,8.34,6.3
608-27-6295,,Mandalay,Member,Male,,52.89,6,15.867,333.207,3/14/2019,5:34:00 PM,Credit card,317.34,4.761904762,15.867,9.8
414-12-7047,Cairo,Mandalay,Normal,Male,Food and beverages,19.79,,7.916,166.236,3/14/2019,12:04:00 PM,Ewallet,158.32,4.761904762,7.916,8.7
827-26-2100,Alex,,Member,Male,,33.84,9,15.228,319.788,3/21/2019,4:21:00 PM,,304.56,4.761904762,,8.8
175-54-2529,Alex,,,Male,Food and beverages,22.17,8,,186.228,03/03/2019,5:01:00 PM,,177.36,,8.868,9.6
139-52-2867,Giza,Naypyitaw,Normal,,,22.51,7,7.8785,165.4485,3/14/2019,10:50:00 AM,Credit card,157.57,4.761904762,7.8785,4.8
407-63-8975,Alex,,Normal,Male,Food and beverages,73.88,6,22.164,465.444,3/14/2019,7:16:00 PM,Ewallet,443.28,,22.164,4.4
342-65-4817,Giza,Naypyitaw,,,Health and beauty,,3,13.02,273.42,1/28/2019,4:47:00 PM,Ewallet,,4.761904762,13.02,9.9
130-98-8941,Giza,Naypyitaw,,Male,Fashion accessories,64.26,7,22.491,472.311,02/09/2019,10:00:00 AM,,449.82,4.761904762,22.491,5.7
434-83-9547,Giza,,,Male,,38.47,8,,323.148,1/23/2019,11:51:00 AM,,,,15.388,7.7
851-28-6367,Alex,Yangon,Member,Male,Sports and travel,15.5,10,,162.75,3/23/2019,10:55:00 AM,Ewallet,,,7.75,8
824-88-3614,,Naypyitaw,Normal,,Health and beauty,34.31,,,288.204,1/25/2019,3:00:00 PM,,,,13.724,5.7
586-25-0848,,Yangon,,Female,Sports and travel,12.34,7,4.319,90.699,3/14/2019,11:19:00 AM,Credit card,86.38,4.761904762,4.319,6.7
895-66-0685,Cairo,Mandalay,,Male,Food and beverages,18.08,3,2.712,56.952,03/05/2019,7:46:00 PM,Ewallet,54.24,,2.712,8
